fqdn_no,family_no
fqdn_17415,0
fqdn_15546,0
fqdn_10219,6
fqdn_12070,0
fqdn_14707,0
fqdn_14249,6
fqdn_5026,6
fqdn_7860,0
fqdn_608,0
fqdn_7797,0
fqdn_13555,3
fqdn_3203,5
fqdn_15685,0
fqdn_322,0
fqdn_8709,6
fqdn_5633,0
fqdn_12999,0
fqdn_6538,4
fqdn_1761,6
fqdn_19498,0
fqdn_4013,0
fqdn_16636,0
fqdn_4666,1
fqdn_11269,3
fqdn_16612,6
fqdn_17212,0
fqdn_2078,0
fqdn_11948,2
fqdn_15806,3
fqdn_11939,0
fqdn_19950,0
fqdn_19427,0
fqdn_1999,0
fqdn_9753,0
fqdn_1993,0
fqdn_1167,0
fqdn_5446,0
fqdn_3022,0
fqdn_2354,0
fqdn_495,0
fqdn_725,6
fqdn_17666,6
fqdn_5872,0
fqdn_13037,0
fqdn_10055,0
fqdn_9254,6
fqdn_5866,0
fqdn_11945,0
fqdn_18543,6
fqdn_4288,0
fqdn_8820,0
fqdn_11871,0
fqdn_18776,0
fqdn_20030,0
fqdn_11666,0
fqdn_7300,0
fqdn_8340,6
fqdn_3091,0
fqdn_4932,0
fqdn_5780,0
fqdn_4986,0
fqdn_17320,0
fqdn_11711,4
fqdn_16526,0
fqdn_12928,0
fqdn_942,0
fqdn_14985,2
fqdn_11492,7
fqdn_13747,0
fqdn_19422,0
fqdn_14220,0
fqdn_11984,0
fqdn_4396,0
fqdn_12967,0
fqdn_13675,2
fqdn_16875,0
fqdn_17969,0
fqdn_9969,0
fqdn_2626,0
fqdn_7612,6
fqdn_16823,0
fqdn_1649,4
fqdn_6658,0
fqdn_13185,4
fqdn_807,6
fqdn_15726,0
fqdn_1819,2
fqdn_9514,0
fqdn_15474,0
fqdn_16224,0
fqdn_18796,0
fqdn_10583,2
fqdn_7226,6
fqdn_7127,0
fqdn_3500,0
fqdn_2986,3
fqdn_5906,0
fqdn_19359,4
fqdn_13522,0
fqdn_19047,0
fqdn_14485,7
fqdn_9113,0
fqdn_7541,0
fqdn_11795,0
fqdn_18404,0
fqdn_18526,0
fqdn_10019,0
fqdn_18947,5
fqdn_10752,0
fqdn_18161,2
fqdn_2496,0
